පාරුව	NNC	O
අනතුරට	NNC	O
පත්වූ	VP	O
සැණින්	NNC	O
අසල	POST	O
මුහුදේ	NNC	O
යාත‍්‍රා	NNP	O
කරමින්	VNF	O
තිබූ	VP	O
වෙළෙඳ	JJ	O
නැව්	NNC	O
තුනක්	NUM	O
පාරුව	NNC	O
වෙත	POST	O
පැමිණ	VNF	O
එහි	PRP	O
සිටි	VP	O
පිරිස	NNC	O
බේරා	VNF	O
ගත්	VP	O
බව	POST	O
වාර්තා	NCV	O
වේ	VFM	O
.	FS	O
පැපුවා	NNP	B-LOC
නිව්ගිනි	NNP	I-LOC
වෙරළාරක්ෂක	JJ	O
නිලධාරීහු	NNC	O
ද	RP	O
වහ	RB	O
වහා	RB	O
‘රබෝල්	NNP	O
ක්වීන්’	NNC	O
නැව	NNC	O
වෙත	POST	O
ළඟා	VNF	O
වූහ	VFM	O
.	FS	O
නැව	NNC	O
ගිලී	VNF	O
යද්දී	VNF	O
සියයකට	NUM	O
වැඩි	JJ	O
පිරිසක්	NNC	O
ඒ	DET	O
තුළ	POST	O
සිරවී	VNF	O
සිටි	VP	O
බවත්	POST	O
ඔවුන්	PRP	O
බේරා	VNF	O
ගැනීමේ	VNN	O
මෙහෙයුම්	NNC	O
කඩිනමින්	RB	O
ආරම්භ	JCV	O
කළ	VP	O
බවත්	POST	O
වාර්තා	NCV	O
විය	VFM	O
.	FS	O
අනතුරින්	NNC	O
දිවි	NNC	O
ගලවා	VNF	O
ගැනීමට	VNN	O
හැකියාව	NNC	O
ලැබී	VNF	O
ඇත්තේ	NIP	O
230	NUM	O
දෙනකුට	NNC	O
පමණි	NVB	O
.	FS	O
සිද්ධිය	NNC	O
සැලවූ	VP	O
සැණින්	NNC	O
ඕස්ට්‍රේලියා	NNP	B-LOC
අගමැතිනිය	NNC	O
වෙරළාරක්ෂක	JJ	O
සහ	CC	O
ජීවිතාරක්ෂක	JJ	O
නිලධාරීන්	NNC	O
,	PUNC	O
බෝට්ටු	NNC	O
6	NUM	O
සහ	CC	O
හෙලිකොප්ටර්	NNJ	O
යානා	NNC	O
2ක්	NUM	O
අනතුර	NNC	O
සිදුවූ	VP	O
මුහුදට	NNC	O
යැවූ	VP	O
බව	POST	O
වාර්තා	NCV	O
විය	VFM	O
.	FS	O
ඕස්ට්‍රේලියාව	NNP	B-LOC
පැපුවා	NNP	I-LOC
නිව්	NNP	I-LOC
ගිනියාවේ	NNP	I-LOC
අසල්	JJ	O
වැසියෙකි	NVB	O
.	FS	O
ඕස්ට්‍රේලියා	NNP	B-LOC
විදේශ	NNJ	O
ඇමැති	NNC	O
කෙවින්	NNP	B-PER
රුඞ්	NNP	I-PER
මාධ්‍ය	NNJ	O
හමුවේ	NNC	O
කියා	VNF	O
සිටියේ	VP	O
පැපුවා	NNP	B-ORG
නිව්	NNP	I-ORG
ගිනියා	NNP	I-ORG
රජය	NNC	I-ORG
සමඟ	POST	O
එක්වී	VNF	O
දිවි	NNC	O
ගලවා	VNF	O
ගැනීමේ	VNN	O
මෙහෙයුමක්	NNC	O
ආරම්භ	JCV	O
කළ	VP	O
බවත්	POST	O
අයහපත්	JJ	O
කාලගුණයෙන්	NNC	O
කොතරම්	QBE	O
බාධා	NNC	O
එල්ල	NCV	O
වුවත්	VNF	O
පාරුවේ	NNP	O
සිරවී	VNF	O
සිටින	VP	O
පිරිස	NNC	O
බේරා	VNF	O
ගැනීමේ	VNN	O
මෙහෙයුම්	NNJ	O
දිගටම	NNC	O
සිදුකරන	VP	O
බවය	NVB	O
.	FS	O
දැයට	NNP	O
කිරුළ	NNP	O
ප්‍රදර්ශනයේ	NNC	O
හත්වන	JJ	O
දිනය	NNC	O
අවසන්	JCV	O
වන	VP	O
විට	POST	O
ලක්ෂ	NUM	O
30	NUM	O
ඉක්ම	RPCV	O
වූ	VP	O
නරඹන්න	VNN	O
පිරිසක්	NNC	O
පැමිණ	VNF	O
ඇතැයි	NIP	O
දැයට	NNP	O
කිරුළ	NNP	O
ප්‍රදර්ශන	NNC	O
සම්බන්ධිකරණ	JJ	O
ලේකම්	NNC	O
උදය	NNP	B-PER
සේනවිරත්න	NNP	I-PER
මහතා	NNC	O
පවසයි	VFM	O
.	FS	O
ප්‍රදර්ශනයේ	NNC	O
සමාප්ති	JJ	O
දිනය	NNC	O
මාධ්‍ය	NNJ	O
දිනය	NNC	O
ලෙස	POST	O
නම්	NCV	O
කර	VNF	O
ඇත	NIP	O
.	FS	O
මේ	DET	O
අතර	POST	O
රාත්‍රියේ	NNC	O
ප්‍රදර්ශන	NNJ	O
භුමියෙන්	NNC	O
නික්ම	NNC	O
යන	VP	O
ඇතැම්	DET	O
නරඹන්නන්	NNC	O
රැගත්	VP	O
වාහන	NNJ	O
මාර්ගය	NNC	O
සොයා	VNF	O
ගත	VP	O
නොහැකිව	AUX	O
පේමඩුව	NNC	B-LOC
,	PUNC	O
විලච්චිය	NNC	B-LOC
,	PUNC	O
තන්තිරිමලේ	NNP	B-LOC
ආදී	JJ	O
ප්‍රදේශවල	NNC	O
මාර්ගයන්හි	NNC	O
අතරමං	RRPCV	O
වු	VP	O
බවත්	POST	O
වාර්තා	NCV	O
වේ	VFM	O
.	FS	O
ප්‍රදර්ශනයේ	NNC	O
අටවන	VP	O
දිනය	NNC	O
වන	VP	O
අද	NNC	O
වේනදාට	NNC	O
වඩා	RP	O
නරඹන්නන්ගේ	NNC	O
අඩුවක්	NNC	O
දැකිය	VP	O
හැකිමුත්	AUX	O
මාධ්‍ය	NNJ	O
කලාපයේ	NNC	O
පිහිටි	VP	O
අනෙක්	DET	O
ප්‍රදර්ශන	NNJ	O
කුටි	NNC	O
වලට	CM	O
මෙන්ම	POST	O
සීමාසහිත	NNP	B-ORG
විජය	NNP	I-ORG
පුවත්පත්	NNJ	I-ORG
සමාගමට	NNC	I-ORG
අයත්	POST	O
ප්‍රදර්ශන	NNJ	O
කුටියට	NNC	O
තුළට	POST	O
නරඹන්නන්	NNC	O
දහස්	NUM	O
ගණන්	NNC	O
ඇදි	VNF	O
එමින්	VNF	O
සිටි	VP	O
.	FS	O
පුවත්පතක්	NNC	O
නිර්මාණය	NCV	O
වන	VP	O
ආකාරය	NNC	O
නියාත්මකව	NNC	O
පෙන්වා	VNF	O
දෙන	VP	O
මේ	DET	O
සදහා	POST	O
නරඹන්නන්	NNC	O
විශේෂ	JJ	O
ඇල්මක්	NNC	O
දක්වති	VFM	O
.	FS	O
අධයාපන	JJ	O
අමාත්‍යාශයේ	NNC	O
සෞන්දර්ය	JJ	O
ඒකකය	NNC	O
මගින්	POST	O
පසුගියදා	NNC	O
මෙහෙයවනු	VP	O
ලැබූ	VP	O
සමස්ත	JJ	O
ලංකා	NNP	O
නැටුම්	NNJ	O
හා	CC	O
මුද්‍රා	NCV	O
නාට්‍ය	NNJ	O
තරගාවලියේ	NNC	O
නැටුම්	NNJ	O
අංශයේ	NNC	O
,	PUNC	O
සමස්ත	JJ	O
ලංකා	NNP	O
ජයග්‍රාහණ	NNC	O
දෙකක්	NUM	O
දිනා	VNF	O
ගැනීමට	VNN	O
හොරණ	NNP	B-LOC
ශ්‍රීපාලි	NNP	B-ORG
විද්‍යාලය	NNC	I-ORG
සමත්විය	VFM	O
.	FS	O
එම	DET	O
නැටුම්	NNJ	O
තරගාවලියේදී	NNC	O
හොරණ	NNP	B-LOC
ශ්‍රීපාලි	NNP	B-ORG
විද්‍යාලය	NNC	I-ORG
විසින්	POST	O
දිනාගනු	VP	O
ලැබූ	VP	O
සමස්ත	JJ	O
ලංකා	NNP	O
ජයග්‍රාහණ	NNC	O
දෙක	NUM	O
වනුයේ	VP	O
,	PUNC	O
කනිෂ්ඨ	JJ	O
අංශයේ	NNC	O
නර්තන	VP	O
සබරගමු	NNP	B-LOC
මිශ්‍ර	JCV	O
කිදුරා	VNF	O
වන්නම	VNN	O
පළමු	JJ	O
ස්ථානය	NNC	O
හා	CC	O
ජ්‍යෙෂ්ඨ	JJ	O
අංශයේ	NNC	O
සමූහ	JJ	O
සබරගමු	NNP	B-LOC
අත්මිතා	NNP	O
පහන	NNC	O
දෙවැනි	JJ	O
ස්ථානය	NNC	O
තරග	NCV	O
දෙකේ	NUM	O
ජයග්‍රාහණයන්ය	NVB	O
.	FS	O
හොරණ	NNP	B-LOC
ශ්‍රීපාලි	NNP	B-ORG
විද්‍යාලයේ	NNC	I-ORG
විදුහල්පති	NNC	O
විල්ප්‍රඩ්	NNP	B-PER
වීරසිංහ	NNP	I-PER
මහතාගේ	NNC	O
උපදෙස්	NNC	O
මත	POST	O
විද්‍යාලයීය	NNJ	O
නර්තන	NNJ	O
අංශ	NNC	O
භාර	JJ	O
නර්තනාචාරිනියන්	NNC	O
වන	VP	O
දේවිකා	NNP	B-PER
ප්‍රියන්ති	NNP	I-PER
හා	CC	O
මනෝරි	NNP	B-PER
විජෙසේකර	NNP	I-PER
යන	VP	O
මහත්මියත්	NNC	O
මෙම	DET	O
ජයග්‍රාහණයන්	NNC	O
කරා	POST	O
විද්‍යාලයීය	NNJ	O
සිසු	NNJ	O
පිරිස්	NNC	O
මෙහෙයවනු	VP	O
ලැබීය	VFM	O
.	FS	O
සමස්ත	JJ	O
ලංකා	NNP	O
මයිලෝ	NNP	O
රගර්	NNP	O
තරගාවලිය	NNC	O
අවුරුදු	NNC	O
18	NUM	O
න්	RP	O
පහළ	JJ	O
කණ්ඩායම්	NNC	O
පසුගියදා	NNC	O
ගල්කිස්ස	NNP	B-LOC
විද්‍යා	JJ	B-ORG
විද්‍යාලයීය	NNJ	I-ORG
ක්‍රීඩාංගණයේ	NNC	O
පැවැත්විණි	VFM	O
.	FS	O
එහිදී	PRP	O
බණ්ඩාරවෙල	NNP	B-ORG
මධ්‍ය	JJ	I-ORG
මහා	JJ	I-ORG
විද්‍යාලයීය	NNJ	I-ORG
කණ්ඩායම	NNC	O
සමග	POST	O
අර්ධ	JJ	O
අවසන්	JJ	O
පූර්ව	JJ	O
තරගයට	NNC	O
මුහුණ	NCV	O
දුන්	VP	O
කුරුණෑගල	NNP	B-LOC
අධ්‍යාපන	JJ	O
කලාපයේ	NNC	O
ශ්‍රීමත්	NNP	B-ORG
ජෝන්	NNP	I-ORG
කොතලාවල	NNP	I-ORG
විද්‍යාලයීය	NNJ	I-ORG
කණ්ඩායම	NNC	O
5-14	NUM	O
ක	RP	O
ජයක්	NNC	O
ලබා	VNF	O
ඇඹිලිපිටිය	NNP	B-ORG
මධ්‍ය	JJ	I-ORG
මහා	JJ	I-ORG
විද්‍යාලයීය	NNJ	I-ORG
කණ්ඩායම	NNC	O
සමග	POST	O
අවසන්	JJ	O
පූර්ව	JJ	O
තරගයට	NNC	O
මුහුණ	NCV	O
දී	RP	O
5-12	NUM	O
ක	RP	O
ජයක්	NNC	O
ලබා	VNF	O
ගන්නා	VP	O
ලදී	VFM	O
.	FS	O
ඉන්	PRP	O
අනතුරුව	POST	O
පළිහ	JJ	O
ශූරතාව	NNC	O
අවසන්	JCV	O
තරගය	NNC	O
ගාල්ල	NNP	B-LOC
විද්‍යාලෝක	NNP	B-ORG
මහා	JJ	I-ORG
විදුහල්	NNJ	I-ORG
කණ්ඩායම	NNC	O
සමග	POST	O
පැවැත්	RRPCV	O
වූ	VP	O
අතර	POST	O
ඉතා	RP	O
තියුණු	JJ	O
තරගයකින්	NNC	O
0-5	NUM	O
ක	RP	O
ජයක්	NNC	O
ලබා	VNF	O
ගත්	VP	O
කුරුණෑගල	NNP	B-LOC
ශ්‍රීමත්	NNP	B-ORG
ජෝන්	NNP	I-ORG
කොතලාවල	NNP	I-ORG
විද්‍යාලයීය	NNJ	I-ORG
කණ්ඩායම	NNC	O
2013	NUM	O
සමස්ත	JJ	O
ලංකා	NNP	O
මයිලෝ	NNP	O
රගර්	NNP	O
තරගාවලියේ	NNC	O
ශූරතාව	NNC	O
දිනා	VNF	O
ගැනීමට	VNN	O
සමත්	JCV	O
විය	VFM	O
.	FS	O
එහිදී	PRP	O
විදුහල්පති	NNC	O
ඩබ්.	NNP	B-PER
එම්.	ABB	I-PER
සමන්	NNP	I-PER
ඉන්ද්‍රරත්න	NNP	I-PER
මහතා	NNC	O
විද්‍යාලයීය	NNJ	O
විෂය	NNJ	O
සමගාමී	NNC	O
ක්‍රීයාකාරකම්	NNC	O
සඳහා	POST	O
පූර්ණ	JJ	O
අනුග්‍රහය	NNC	O
ලබා	VNF	O
දෙන	VP	O
අතර	POST	O
වසර	NNC	O
දෙකක්	NUM	O
වැනි	POST	O
කෙටි	JJ	O
කාලයක්	NNC	O
තුළ	POST	O
විද්‍යාලයේ	NNC	O
රගර්	NNP	O
බාලක	NNP	O
බාලිකා	NNJ	O
කණ්ඩායම්	NNC	O
ඇති	NIP	O
කර	VNF	O
ඇති	NIP	O
අතර	POST	O
මේ	DET	O
වන	VP	O
විට	POST	O
ජයග්‍රහණ	NNC	O
රුසක්	NNC	O
හිමි	RRPCV	O
කර	VNF	O
ගෙන	VNF	O
ඇත	NIP	O
.	FS	O
ආචාර්ය	JJ	O
මණ්ඩලයේ	NNC	O
දිල්ශාන්	NNC	B-PER
දේශප්‍රිය	NNP	I-PER
නවරත්න	NNP	I-PER
හා	CC	O
ප්‍රමිතා	NNP	B-PER
එම්.	ABB	I-PER
එදිරිසිංහ	NNP	I-PER
රගර්	NNP	O
ක්‍රීඩාභාර	JJ	O
ගුරු	JJ	O
භවතුන්	NNC	O
ලෙස	POST	O
කටයුතු	NCV	O
කරන	VP	O
අතර	POST	O
විශ්‍රාමික	JJ	O
හමුදා	NNJ	O
නිලධාරී	NNC	O
තිස්ස	NNP	B-PER
විජේවීර	NNP	I-PER
මහතා	NNC	O
පුහුණුකරු	NNC	O
ලෙස	POST	O
මනා	JJ	O
කැපවීමෙන්	NNC	O
යුතුව	AUX	O
කටයුතු	NCV	O
කරන	VP	O
බව	POST	O
විදුහල්පති	NNC	O
සමන්	NNP	B-PER
ඉන්ද්‍රරත්න	NNP	I-PER
මහතා	NNC	O
පැවසීය	VFM	O
.	FS	O
නවවැනි	NNP	O
ආසියානු	NNP	B-LOC
පාසල්	NNC	O
චෙස්	NNP	O
තරගාවලියේ	NNC	O
දී	RP	O
ලක්	RRPCV	O
මව	NNC	O
රනින්	NNC	O
සැරසූ	VP	O
මෙරට	NNC	O
පාසල්	NNC	O
චෙස්	NNP	O
ක්‍රීඩිකාවන්	NNC	O
පස්	NUM	O
දෙනාට	NNC	O
උපහාර	NCV	O
පුදා	VNF	O
ඔවුන්ට	PRP	O
තිළිණ	NNC	O
ප්‍රදානය	NCV	O
කිරීමේ	VNN	O
උත්සවයක්	NNC	O
ශ්‍රී	NNP	B-ORG
ලංකා	NNP	I-ORG
චෙස්	NNP	I-ORG
සම්මේලනයේ	NNC	I-ORG
ලේකම්	NNC	O
ලක්ෂ්මන්	NNP	B-PER
විජේසූරිය	NNP	I-PER
මහතාගේ	NNC	O
ප්‍රධානත්වයෙන්	RB	O
මීගමුව	NNP	B-LOC
ලොයෙලා	NNP	B-ORG
විදුහලේ	NNC	I-ORG
දී	RP	O
පැවැත්විණි	VFM	O
.	FS	O
මේ	DET	O
චෙස්	NNP	O
තරගාවලියේ	NNC	O
දී	RP	O
