එම	DET	O
පිරිස	NNC	O
පුදුචෙරිහි	NNP	B-LOC
සිට	POST	O
ඕස්ට්‍රේලියාව	NNP	B-LOC
බලා	VNF	O
පිටත්ව	VNF	O
බව	POST	O
ඕස්ට්‍රේලියානු	NNP	B-LOC
නිලධාරීන්	NNC	O
පවසා	VNF	O
තිබුණ	VP	O
ද	RP	O
ඒ	DET	O
පිළිබඳ	POST	O
කිසිදු	DET	O
තොරතුරක්	NNC	O
පුදුචෙරි	NNP	B-LOC
පොලිස්	JJ	O
නිලධාරින්	NNC	O
සතුව	VNF	O
නොපවතින	VP	O
බව	POST	O
ඔහු	PRP	O
ප්‍රකාශ	NCV	O
කර	VNF	O
.	FS	O
කෙසේ	RB	O
වෙතත්	POST	O
අදාළ	JJ	O
සිද්ධියට	NNC	O
සම්බන්ධ	POST	O
බෝට්ටු	NNJ	O
හිමිකරුවන්	NNC	O
දෙදෙනෙතු	NNC	O
අත්අඩංගුවට	NNC	O
ගෙන	VNF	O
ඇති	NIP	O
අතර	POST	O
අදාළ	JJ	O
සරණාගතයින්	NNC	O
එම	DET	O
ස්ථානයෙන්	NNC	O
පිටත්ව	VNF	O
ගිය	VP	O
ආකාරය	NNC	O
පිළිබඳ	POST	O
කිසිදු	DET	O
තොරතුරක්	NNC	O
මේ	DET	O
වන	VP	O
තෙක්	POST	O
ලැබි	NNP	O
නොමැති	NIP	O
බව	POST	O
පුදුචෙරි	NNP	B-LOC
පොලිස්	JJ	O
ප්‍රධානි	NNC	O
ප්‍රවීර්	NNP	B-PER
රංජන්	NNP	I-PER
.	PUNC	O
ශ්‍රි	NNP	B-LOC
ලංකාවේ	NNP	I-LOC
මාධ්‍ය	NNJ	O
නිදහස	NNC	O
සම්බන්ධයෙන්	POST	O
අමෙරිකානු	NNP	B-ORG
තානාපති	NNJ	I-ORG
කාර්යාලය	NNC	I-ORG
නිකුත්	RPCV	O
කළ	VP	O
ලැබු	VP	O
මාධ්‍ය	NNJ	O
නිවේදනය	NNC	O
සම්බන්ධයෙන්	POST	O
ශ්‍රි	NNP	B-ORG
ලංකා	NNP	I-ORG
රජය	NNC	I-ORG
අප්‍රසාදය	NNC	O
පළ	RRPCV	O
.	FS	O
යාපනයේ	NNP	B-LOC
දී	RP	O
අමෙරිකානු	NNP	B-ORG
තානාපති	NNJ	I-ORG
කාර්යාලය	NNC	I-ORG
මගින්	POST	O
පසුගිය	VP	O
සතියේ	NNC	O
මාධ්‍යවේදින්	NNC	O
සඳහා	POST	O
සංවිධානය	NCV	O
කරනු	VP	O
ලැබු	VP	O
පුහුණු	JJ	O
වැඩසටහනක්	NNC	O
රජය	NNC	O
මගින්	POST	O
අවලංගු	JCV	O
කිරීම	VNN	O
පිළිබඳව	POST	O
කනස්සල්ල	NNC	O
පළ	RRPCV	O
කරමින්	VNF	O
එම	DET	O
කාර්යාලය	NNC	O
විසින්	POST	O
නිවේදනයක්	NNC	O
නිකුත්	RPCV	O
කර	VNF	O
.	FS	O
මේ	DET	O
හරහා	POST	O
ශ්‍රී	NNP	B-LOC
ලංකාවේ	NNP	I-LOC
මාධ්‍යවේදින්ගේ	NNC	O
මූලික	JJ	O
අයිතිවාසිකම්	NNC	O
උල්ලංඝණය	RPCV	O
වී	VNF	O
ඇති	NIP	O
බව	POST	O
එම	DET	O
නිවේදනයෙන්	NNC	O
අමෙරිකානු	NNP	B-ORG
තානාපති	NNJ	I-ORG
කාර්යාලය	NNC	I-ORG
පෙන්වාදී	VNF	O
කෙසේ	RB	O
වෙතත්	POST	O
මේ	DET	O
සම්බන්ධයෙන්	POST	O
නිවේදනයක්	NNC	O
නිකුත්	RPCV	O
කරමින්	VNF	O
විදේශ	NNJ	B-ORG
කටයුතු	NNC	I-ORG
අමාත්‍යංශය	NNC	I-ORG
පවසන්නේ	VP	O
අමෙරිකානු	NNP	B-ORG
තානාපති	NNJ	I-ORG
කාර්යාලය	NNC	I-ORG
මෙවැනි	POST	O
වැඩසටහන්	NNC	O
සඳහා	POST	O
සහය	NNC	O
දක්වන්නේ	VP	O
කුමන	QBE	O
අරමුණින්	NNC	O
ද	RP	O
යන්න	POST	O
අපැහැදිළි	NNC	O
බවයි	NVB	O
.	FS	O
තිස්සමහාරාමය	NNP	B-ORG
ප්‍රාදේශීය	JJ	I-ORG
සභාවේ	NNC	I-ORG
සභාපතිවරයා	NNC	O
නෙරපා	VNF	O
හැරීමට	VNN	O
එරෙහිව	RB	O
නීතිමය	JJ	O
ක්‍රියා	NNJ	O
මාර්ග	NNC	O
ගැනීමට	VNN	O
සූදානම්	JCV	O
බව	POST	O
පෙ.	ABB	B-ORG
පාර්ලිමේන්තු	NNJ	O
මන්ත්‍රී	NNJ	O
කණ්ඩායම්	NNC	O
නායක	NNC	O
අනුර	NNP	B-PER
කුමාර	NNP	I-PER
දිසානායක	NNP	I-PER
මහතා	NNC	O
පවසයි	VFM	O
.	FS	O
දේශපාලන	JJ	O
පළිගැනීමක්	NNC	O
වශයෙන්	POST	O
විශේෂ	JJ	O
ගැසට්	NNJ	O
නිවේදනයක්	NNC	O
නිකුත්	RPCV	O
කරමින්	VNF	O
තිස්සමහාරාම	NNP	B-ORG
ප්‍රාදේශීය	JJ	I-ORG
සභාවේ	NNC	I-ORG
සභාපතිවරයා	NNC	O
නෙරපා	VNF	O
හැර	VNF	O
ඇති	NIP	O
මේ	DET	O
වන	VP	O
විට	POST	O
එහි	PRP	O
උප	JJ	O
සභාපතිවරයාට	NNC	O
වැඩ	NCV	O
බලන	VP	O
ලෙස	POST	O
උපදෙස්	NNC	O
ලබා	VNF	O
දී	RP	O
ඇති	NIP	O
බවත්	POST	O
හෙතෙම	PRP	O
කියා	VNF	O
සිටියේය	VFM	O
.	FS	O
තිස්සමහාරාමය	NNP	B-ORG
ප්‍රාදේශීය	JJ	I-ORG
සභාව	NNC	I-ORG
රටේ	NNC	O
හොඳම	JJ	O
ප්‍රාදේශීය	JJ	O
සභාව	NNC	O
ලෙස	POST	O
සම්මාන	NNC	O
හා	CC	O
සහතිකපත්‍ර	NNJ	O
දිනා	VNF	O
ඇති	NIP	O
එකී	DET	O
සහතික	NNC	O
වලට	CM	O
අත්සන්	NCV	O
තබා	VNF	O
ඇති	NIP	O
ප්‍රධාන	JJ	O
අමාත්‍ය	NNC	O
ශාන්	NNP	B-PER
විජයලාල්	NNP	I-PER
මහතාගේ	NNC	O
අත්සනින්	NNC	O
ම	RP	O
නිකුත්	RPCV	O
කළ	VP	O
ගැසට්	JJ	O
නිවේදනයක්	NNC	O
මගින්ම	NNC	O
සභාපතිවරයා	NNC	O
නෙරපා	VNF	O
හැරීම	VNN	O
ඉතා	RP	O
කනගාටුදායක	NNC	O
බවද	POST	O
ඔහු	PRP	O
පවසා	VNF	O
සිටියේ	VP	O
අද	NNC	O
පැවති	VP	O
මාධ්‍ය	NNJ	O
හමුවකට	NNC	O
සහභාගී	RPCV	O
.	FS	O
බහරේන්හිදී	NNP	B-LOC
මියගිය	VP	O
ශ්‍රී	NNP	O
ලාංකිකයින්	NNP	O
තිදෙනාගේ	NUM	O
දේහයන්	NNC	O
මෙරටට	NNC	O
ගෙන්වා	VNF	O
ගැනීමට	VNN	O
අවශ්‍ය	JJ	O
පියවර	NNC	O
ගෙන	VNF	O
ඇති	NIP	O
බව	POST	O
විදේශ	NNJ	B-ORG
සේවා	NNJ	I-ORG
නියුක්ති	JJ	I-ORG
කාර්යාංශය	NNC	I-ORG
.	FS	O
විදේශ	NNJ	B-ORG
සේවා	NNJ	I-ORG
නියුක්ති	JJ	I-ORG
කාර්යාංශයේ	NNC	I-ORG
සභාපති	NNC	O
කිංස්ලි	NNP	B-PER
රණවක	NNP	I-PER
මහතා	NNC	O
පවසන	VP	O
පරිදි	POST	O
කුවේට්හි	NNP	B-LOC
පිහිටි	VP	O
ශ්‍රී	NNP	B-ORG
ලංකා	NNP	I-ORG
තානාපති	NNJ	I-ORG
කාර්යාලයේ	NNC	I-ORG
මැදිහත්වීම	VNN	O
මත	POST	O
අද	NNC	O
පස්වරුවේ	NNC	O
එම	DET	O
මෘත	JJ	O
දේහයන්	NNC	O
මෙරටට	NNC	O
ගෙන	VNF	O
එනු	VP	O
.	FS	O
ඊට	PRP	O
අදාල	POST	O
සියලු	DET	O
වියදම්	NNC	O
විදේශ	NNJ	B-ORG
සේවා	NNJ	I-ORG
නියුක්ති	JJ	I-ORG
කාර්යාංශය	NNC	I-ORG
විසින්	POST	O
දරන	VP	O
බව	POST	O
ද	RP	O
කිංස්ලි	NNP	B-PER
රණවක	NNP	I-PER
මහතා	NNC	O
සඳහන්	POST	O
.	FS	O
පසුගියදා	NNC	O
බහරේන්හි	NNC	B-LOC
නිවාස	NNC	O
සංකීර්ණයක	NNC	O
ඇති	NIP	O
වූ	VP	O
ගින්නකදී	NNC	O
පිටවූ	VP	O
